Name,Date,Property,Tags,担当
補助管2部品 仕込み,"October 8, 2021 → October 29, 2021",,技試,44班
補助管2部品 製作,"November 2, 2021 → November 27, 2021",,技試,特器
支柱部品（座・芯） 製作,"September 1, 2021 → September 13, 2021",,技試,XY
支柱部品（座・芯）送付,"September 15, 2021 → October 12, 2021",,,"XY, YCJ"
支柱スポット治具設計,"September 20, 2021 → October 15, 2021",,治工具,YCJ
支柱スポット治具手配,"September 27, 2021 → November 15, 2021",,,型治具業者
支柱スポット・ロウ付け技試,"October 23, 2021 → November 30, 2021",,,外注
抜差廻り組立,"November 30, 2021 → December 13, 2021",,技試,46班
抜差廻りバレル治具調整,"December 13, 2021 → December 26, 2021",,技試,型治具業者
抜差廻りバレル,"December 27, 2021 → January 11, 2022",,,50班
抜差廻り 表面処理,"January 10, 2022 → January 25, 2022",,,18班
朝顔組立 フチ巻まで,"September 1, 2021 → October 24, 2021",,技試,41班
朝顔サンディング用芯金製作,"October 17, 2021 → October 31, 2021",,,型治具業者
朝顔組立サンディング・バフ,"October 31, 2021 → November 15, 2021",,,41班
番管製作（特に2番管）,"September 1, 2021 → November 1, 2021",,技試,44班
管体・番管組立,"November 17, 2021 → November 30, 2021",,技試,46班
管体バレル治具調整,"December 1, 2021 → December 17, 2021",,技試,型治具業者
管体バレル、表面処理,"December 17, 2021 → January 4, 2022",,技試,"18班, 50班"
抜差頭4曲げ型 設計・手配,"September 8, 2021 → October 5, 2021",,治工具,金属加工
44班用追加治工具設計,"August 22, 2021 → September 30, 2021",,治工具,金属加工
44班用追加治工具類手配,"October 4, 2021 → November 21, 2021",,治工具,型治具業者
XY治工具購入手続き,"September 13, 2021 → October 8, 2021",,治工具,金属加工
XY治工具輸入,"October 9, 2021 → October 22, 2021",,治工具,"XY, YCJ"
XY治工具改造・調整,"October 23, 2021 → November 9, 2021",,治工具,型治具業者
小径管 不足6部品 仕込み,"October 1, 2021 → October 31, 2021",,,44班
小径管 不足6部品 技試製作,"October 31, 2021 → November 30, 2021",,技試,44班
抜差組立 製作,"December 1, 2021 → December 30, 2021",,,15班
小物類 製作手配,"August 30, 2021 → December 31, 2021",,,外注
補助管等4部品 技試確認,"December 1, 2021 → January 1, 2022",,技試,44班
朝顔・番管 技試製作,"September 1, 2021 → October 31, 2021",,簡略表示,"41班, 44班"
管体廻り 技試,"November 30, 2021 → January 15, 2022",,簡略表示,"18班, 46班, 50班"
支柱 治具追加手配、部品輸入,"October 1, 2021 → December 2, 2021",,簡略表示,YCJ
支柱 技試部品製作,"November 15, 2021 → December 1, 2021",,簡略表示,外注
小径管 不足部品技試,"November 15, 2021 → December 14, 2021",,簡略表示,44班
植込・抜差廻り 技試,"December 1, 2021 → January 29, 2022",,簡略表示,"18班, 46班, 50班"
最終組立調整,"February 2, 2022 → February 15, 2022",,"技試, 簡略表示",60班
技試楽器完成,"February 25, 2022",,"技試, 簡略表示",60班
小径管 歩留り悪部品立上げ,"December 1, 2021 → January 31, 2022",,簡略表示,44班
抜差部品 技試,"December 1, 2021 → December 28, 2021",,簡略表示,